artist_name,track_name,release_date,genre,lyrics
paul martinez,blow green late,1960,folk,die year hope walk fly truth walk lie feel leave summer morning tear wake smile road hope heart year forgive ruin rain fall snow leave green blue river time burn leaf fall voice field walk moon truth run green tree evening truth time stay burn water time ruin time stay
robert moore,evening forgive morning,1960,folk,feel forgive late snow ice star blue save evening hope break house mountain leaf day chase leaf blow die wind country try field stranger ruin break stranger wake moon day
daniel martin,leaf blue forgive leave,1958,folk,laugh sleep feel fall house moon river dark sun ice sky away country love try tear ruin wind lie fall save city city time live dark forgive wake sing night warm sun tree voice
sarah hernandez,light away,1957,folk,stranger wind bird bird morning star tear evening laugh ice run forgive winter walk time star ruin hope leaf blue city train hope cry burn leaf fly valley sing time heart cold green star leave star save fly sing winter town sleep cry sleep green day leaf wake
john johnson,leaf summer tree chase,1954,folk,sun blow valley night chase break tear warm rain old dream blow hold voice field die blue fly sleep break home hope night stranger town grow dream snow home evening dark wind night rain try wake friend valley fly
robert rodriguez,sky laugh,1957,folk,river city city fall country old house laugh cold house fall feel fire blow night play away star leaf blow leaf wind moon moon country sing grow light chase tree fall blow die dark ruin country
matthew hernandez,night new sky fly,1951,folk,snow house ruin save night burn laugh die country home water wake blue sun snow road year dream fly love mountain country city ice hope late fly burn live dark
linda gonzalez,evening forgive,1959,folk,rain blue die chase late speak warm warm country cold sun cry love rain fly moon evening wind truth city away home rain train green sleep warm river road train summer house town speak time sleep die summer blue ice sky stranger speak river speak lie
linda martin,town burn feel late,1950,folk,water ruin star away heart speak warm green city try morning field away smile train road speak light ruin wind sing fly forgive heart hold morning blow summer winter heart leaf chase grow light new die field late wind break truth train voice cry
matthew miller,leaf live,1958,folk,laugh wind sun city house sun heart chase burn moon country night green fly love morning road try year valley feel cry town dark new morning heart blue star time warm
david martinez,time break,1956,folk,try sing die truth river die lie speak snow day time evening love save ruin road year night road time burn break green summer tear break fall ice train star home sky house smile valley stranger
paul anderson,feel road rain,1960,folk,laugh year chase play chase cold fire fly run fall home rain fall dream summer wind speak heart voice hope save tear sing river leaf old feel evening water old heart
charles martinez,new new blue stay,1950,folk,old tree field snow wake break truth smile fly love try fire play lie morning play save away ice save stay sun snow heart time grow home leaf summer house forgive sing voice warm river light ruin die love leaf blue sky time love year cry evening
linda lopez,speak sing road,1957,folk,chase morning star leave sing road speak cry town play winter winter new die ruin truth leave rain cry voice play stay sky heart blow try speak die die road
peter williams,morning new star,1960,folk,moon late road sun mountain fire cry house love love love old winter home cry voice blue blow run laugh burn train mountain old city old sleep feel train dark save summer away stranger tear dream hope burn hold dream old road field green star
michael garcia,truth dream,1951,folk,day stranger winter town tree light forgive love hope town hold river moon stay try dark green winter friend blue lie burn ice dark warm break sing green stay cold light moon leave live lie snow stay friend fall leaf moon heart tree night fall
paul rodriguez,warm sleep,1954,folk,winter green hold river fly morning fire light cold star sleep field forgive mountain friend play field leaf bird run fly blue blue green chase live sky sing water laugh rain star water heart friend sleep leaf sun new
matthew hernandez,city rain,1953,folk,play dream warm tree truth speak run old bird fly sun ice speak late save summer leave winter leave save lie bird late snow run snow field rain river stranger love town ice sun town summer new country late field smile town tree dark blue time fire ruin
william smith,home warm field,1960,folk,night break die light ruin morning year play walk city fly love year dark late new hold water morning speak sun dream friend lie star winter winter stay wind green smile heart away bird friend train country cry leaf fall die day bird winter light river break burn
joseph martinez,old bird ice blow,1958,folk,heart ice away evening speak new grow love leave light ice new hold lie grow ice sing leaf country cold burn save city bird road snow friend fall blow ice night play love winter truth sky walk tear fall town cry sing sleep break evening smile warm
david garcia,town water time sun,1951,folk,blue fall moon late live break blue away walk sky sleep time truth cold save night evening water sleep cold evening new fly stranger walk leave star home run town moon country old grow star wake sky laugh morning live mountain
christopher gonzalez,morning run die,1960,folk,run lie sleep smile grow chase winter die old new late play walk save feel try voice truth year winter old day town star blue love summer heart winter star bird home wake bird country
joseph moore,heart star train,1956,folk,cold tear fire road river stay grow cold try hold field river blow new laugh save stranger cold lie wind rain wake leaf wind burn stranger leave speak fly run rain smile sun blow night blue sky road new dark summer speak fly sun late feel home
david wilson,burn bird,1958,folk,speak mountain water bird time green truth road grow dream city dream snow late break year tear valley laugh speak moon rain lie lie sky home warm feel night train play burn friend fire burn train night night year truth time old time moon run feel stranger blue fall warm
thomas rodriguez,grow night leaf speak,1960,folk,train year time green die fall river leaf ice mountain stranger play die voice break leaf lie home blow smile run blow leaf home hold hope city ice green home sky smile break fly smile mountain laugh blue hope leave burn night green hope save morning love
charles smith,evening sing,1950,folk,sun speak fire water country home valley green friend house cry ice train day live summer snow burn speak snow new hold summer break speak old play new chase fly
linda garcia,field snow star,1950,folk,old sleep river lie ruin night sing away evening rain summer fire new snow sky city day walk year friend city water walk heart house tree truth fly smile grow water break rain new leaf friend save rain save fall wind blow light night
linda brown,sing time try,1960,folk,stranger feel snow ice night lie sing year feel time sun green warm summer valley ruin night stay warm fly love wake die blue warm ice rain old smile night feel save break break star ruin old grow dream rain house morning forgive country bird wind save
john garcia,break town morning,1960,folk,voice bird summer hold cry wind cold leave stranger road stranger sun field old bird lie feel chase star winter rain leave snow morning fly late fly new forgive road field field mountain forgive
mary smith,speak country,1950,folk,new fly voice train stranger die green feel live away fly cry try hold cry sing live sky feel sky sing fall wake new dream valley blue new die sleep rain new feel
mary jackson,city sun mountain,1950,folk,run stranger wind burn friend bird tear sun tree country burn tree warm year chase country morning snow blue ruin fly run forgive save home light water valley time friend
charles rodriguez,rain evening wind hope,1955,folk,snow chase sing moon year forgive sleep grow dream cry summer friend love laugh ruin burn cold old moon warm evening green voice summer grow home truth fall bird water live blue forgive mountain leave truth river live play break heart home
richard gonzalez,blue river lie,1959,folk,hope time house tear day fall ruin leave speak road fire old save dream blow night cold chase fire water heart save night tear speak wake sky feel fly time love cry warm smile star
peter martin,heart moon blue,1951,folk,ice moon wind cold year leave live winter sun voice sleep chase sing dream friend friend time light grow stay green hope green snow tree grow summer night late sleep sleep lie morning leaf country live tree wake speak cry
michael smith,morning dream road,1952,folk,year house save sleep fall home star chase city home evening road cold blue river dark lie tear play ice fall live town lie ice snow walk house river hold break play tear mountain star tree live love train wind
paul hernandez,star break snow,1960,folk,wind leaf moon morning day train ice year forgive fire evening friend bird valley wind blue bird leave friend truth year voice leaf run leaf bird grow ruin house blue play smile home tear stay try warm dream new late sing dream leaf valley
linda lopez,lie home day late,1953,folk,save river wake feel morning dark sun wind save city green smile leaf tear tear voice tree dream grow valley wind stay walk day sky fly mountain chase blue break bird
john hernandez,river sing die blow,1957,folk,warm ice tear road blow burn fall city morning save cold leave light late sky fall friend time ice snow love laugh blow forgive house grow fall voice forgive country train lie away star voice night warm field lie light live wind leaf cold bird hope summer away hope
michael taylor,sky country play fire,1956,folk,mountain night blow tree save away green smile play water morning leave burn run valley walk fire love day late tree morning tree break morning day cold tree sky wind blow year field sing ice chase star winter tree morning hold hold cold voice sing fire green city truth
peter lopez,mountain wake fall dark,1958,folk,blow leave warm burn snow star live speak fall feel break town forgive old play sing year year leaf truth train blow save away star country fly blue away wind truth river late love
daniel jackson,feel old water moon,1958,folk,hope late ruin stranger heart voice burn train star break speak save time tree house love voice save road try star break water tear mountain warm road heart walk fire rain live star dark tree blue hope evening
richard thomas,cry cry blow,1957,folk,voice night dream star die day grow wake fall live city run truth tear grow city country try sky summer water try warm dark rain lie light fall sun love stay heart house evening away evening
thomas gonzalez,night speak,1959,folk,grow feel year day chase wake river voice dark ruin sleep away country winter train ice cold wind house fall sleep heart live friend night water warm ice fly dream
peter davis,light river river,1952,folk,wind forgive stranger city feel summer heart cry summer winter truth friend run blow sing country stranger lie cry stay sleep feel rain die truth sing summer smile stranger mountain burn
michael jackson,sleep time lie leaf,1952,folk,dark voice road dream town lie hold snow dream blue blue forgive leaf run try winter city live truth play run sky light ice field train blow evening city green voice leave
william hernandez,smile speak road,1951,folk,love star blue home fall star light house green friend blow feel late year burn water sun leaf evening blow blue sky dark city break try smile winter live blow mountain dark
mary williams,speak road morning,1957,folk,ice evening valley moon live bird dream live sing country blow leaf tear dream play play mountain wake ice road evening city sky water smile winter leave break late voice stay feel wind blue leave road fly save tear night mountain bird
joseph brown,sing time chase die,1958,folk,fall night green bird blow cold green blue break tear moon leave try try sing forgive play away cry lie town friend laugh forgive cry mountain voice tree friend wind morning
matthew jackson,voice run run,1957,folk,hope live wind late lie sleep fly break lie night forgive friend summer late die fall leaf sleep walk sleep blow ice play train fire ruin dark burn voice moon smile new away country away run love feel fire new home tear evening stay winter river smile rain live winter
robert martinez,friend late rain,1959,folk,warm evening country dream tear cold break late train walk friend sky home try evening town friend blue blow truth dream evening moon truth laugh fall dark ruin evening truth tear stay water break laugh rain play ruin valley feel
michael moore,bird live,1955,folk,fall green evening love smile hold home voice home truth snow dark friend night feel wind leave try wake wind feel time dream burn city mountain sun mountain late love train old sky laugh break sing sleep summer leave tear sing ice day chase burn
john jackson,blue cold country morning,1950,folk,tear ruin dark mountain try bird time city speak valley feel hold break forgive dream fall dream sky home night play hold lie blue warm green snow morning river warm light hope train leave stranger time snow heart speak love river ruin smile
james williams,speak winter late ruin,1952,folk,cold chase play live burn house tree walk train late wind chase winter sun feel fall walk voice leave house late town rain play die blow field speak try dream blow house leave leaf night friend fall night feel river city tree heart town late run save star
joseph wilson,snow friend,1952,folk,green grow water sun leaf die sky away hope voice year friend winter star break fire river valley hold train stranger voice moon wake home fly old sky speak house save tear dream star evening snow hold heart save laugh star cry city stranger dark road
paul smith,grow speak voice year,1956,folk,blue fall night river away moon train walk cry hope grow stranger ice country stranger die time hope live summer hope hold city road fall snow green old fall year tear city river forgive
richard hernandez,grow sing save fly,1956,folk,sleep try forgive valley fly fire friend country water laugh chase chase mountain dream voice tear light rain stay house leaf valley new tear forgive burn love rain warm late old
anthony brown,die save voice,1956,folk,hope tear light rain friend night grow tear star old star moon hope burn stay heart fall rain road burn speak rain speak dark heart smile blow city ice winter ruin burn chase home train valley fall sleep city laugh new truth tree road time save
robert smith,new water,1959,folk,time play water evening evening green home blow blow speak rain hope snow winter break house star grow wind old stay snow rain leaf cry light forgive heart summer die house away train chase wind stranger
paul martin,valley road,1952,folk,walk light country evening away ruin snow rain sun home day grow sleep die stay valley ice star night snow fly chase stranger moon field heart country house run cry chase fly ruin break bird burn valley save leaf try road home hold wind day die night
linda miller,old fly hold,1960,folk,water try forgive heart wind live blow fall moon break voice save star away love field home night stranger break ice time snow home night light day stay train leave
sarah brown,late forgive morning fall,1957,folk,blow burn home ice morning live love late country late tear sky truth winter smile hope fire lie forgive cry train summer cry water sleep winter train ruin blue try cry live star field new
joseph jones,try truth,1958,folk,burn lie mountain leaf die leave fall blue forgive voice late wake sing run tear live year ruin valley morning wake sky home live old valley city leaf country light stay tree bird burn ice run
thomas martin,field speak burn river,1952,folk,wind light lie play home rain road fly run grow live night tear break fire wake voice tree home leave try ruin laugh break ice walk town field stay blow grow die late green road dream cold ice stay ruin save town fall wake
matthew miller,fall sun evening hold,1950,folk,speak smile town tear wake smile love night grow tree bird city mountain wind leave mountain hope hold try sky morning dark leave leave cry grow home dream morning house dream old day morning ruin fall sun old cry lie run sing hope
matthew williams,summer try,1958,folk,live laugh town star home walk tear wind road laugh fire star day blue sky blue new sky fire save hold ruin train blow cry green year hold voice die wake play sky snow live sing wind stay country snow mountain speak home water sun
william wilson,ruin city river try,1953,folk,train sing valley morning river wake wake home stranger sing summer away lie try tree save laugh dream snow time snow home sing time warm die chase burn forgive year dark save wake house wake day house burn day ice light evening laugh fall sun ruin play try try friend
james johnson,heart star field,1960,folk,mountain speak night break winter winter fire ruin water water late lie snow country time laugh city wake road blue dream stranger morning summer heart warm moon blow try star wind old fly blow love
joseph rodriguez,burn save night smile,1953,folk,old speak grow save star water river break chase night speak lie hold speak lie sing star evening voice morning snow field live green try fall summer chase play stranger day grow time
matthew lopez,speak city warm,1960,folk,love home mountain wind leave stay truth leave snow train leaf winter love sing dark light break die hold ice morning blue moon try morning home ice ruin water away chase wake stay leave save wake evening play sleep river sing snow city star
james moore,wind cold,1952,folk,train old try forgive play burn sleep grow sleep summer cold star love grow try laugh chase break water green sleep water sun sun blow train light run star die speak mountain chase wake water burn smile evening heart friend burn dream hold year year sleep warm snow speak city
christopher lopez,blue year,1950,folk,try year speak burn truth sleep city cry field winter valley laugh time stay train day green field city bird fly day morning fire smile new green hope evening tear blow wake live mountain mountain fire summer water morning home
robert moore,night feel,1956,folk,warm day time smile day moon city green fall walk smile wake heart train try friend truth sing run wake chase sleep dark grow forgive break save sing truth star ice speak city cry leave laugh winter star smile old home walk old lie
daniel thomas,city sing sun,1959,folk,sky dream new star friend house try ice friend mountain hold snow light cry sun die forgive train snow ruin house green fly house blow city cold valley night save forgive live sleep lie bird play day love fire smile house away cry truth break green day die
peter smith,smile leaf,1956,folk,city play year leave voice lie night country late cry green dark burn river forgive year fly country sing valley lie morning warm train fire save smile river fall year late fall forgive valley chase love day star stay ice chase home country speak late year tree water
christopher jackson,blue wake fire home,1950,folk,grow play sleep year friend run year house die rain sleep forgive fall stay winter star cry leave sing dark cold burn wake evening train friend fly speak road grow leave valley field sing time mountain play train
